id,Longitud,Latitud,2023_011,2023_012,2023_013,2023_010,2023_021,2023_022,2023_023,2023_020,2023_031,2023_032,2023_033,2023_030,2023_041,2023_042,2023_043,2023_040,2023_051,2023_052,2023_053,2023_050
98,-55.66650000214577,-33.666499972343445,8.193086624145508,4.430069923400879,3.726393461227417,5.394254684448242,5.332077026367188,10.887598037719728,23.568702697753903,12.526656150817873,32.102996826171875,39.566165924072266,91.55352020263672,55.60581588745117,88.87933349609375,75.78912353515625,65.14228820800781,76.60357666015625,64.52363586425781,63.04512786865234,75.37823486328125,67.89833068847656
99,-55.33349999785423,-33.333500027656555,4.053037643432617,1.915150761604309,3.154484033584595,3.044554948806763,6.955638408660889,5.79834508895874,5.92354679107666,6.247436046600342,9.91566276550293,42.82400131225586,95.97276306152344,51.06764602661133,81.0128402709961,66.21269989013672,55.90033721923828,67.70862579345703,63.8037109375,65.84527587890625,78.9708480834961,69.84416961669922
100,-54.99999997019768,-33.333500027656555,3.768323183059692,1.801707983016968,8.349791526794434,4.759613513946533,16.229257583618164,13.00009536743164,12.584529876708984,14.034634590148926,41.27188873291016,67.98941040039062,96.19686126708984,69.37995147705078,83.27247619628906,73.08941650390625,64.1666030883789,73.5094985961914,80.99776458740234,87.87126922607422,89.87708282470703,86.36575317382812
101,-54.666499972343445,-33.666499972343445,12.603309631347656,8.810525894165039,5.414073467254639,8.828811645507812,9.524625778198242,10.94424819946289,30.362468719482425,15.985302925109863,41.6518783569336,62.50391387939453,98.37808227539062,68.50699615478516,94.45336151123048,81.84400939941406,72.00056457519531,82.76598358154297,73.7815170288086,73.68556213378906,77.4573974609375,75.0549087524414
102,-55.33349999785423,-33.00000002980232,5.437376022338867,2.789055347442627,4.875908851623535,4.383848667144775,7.680681228637695,5.213771820068359,9.146932601928713,7.218571186065674,18.41367149353028,41.12745666503906,97.3863296508789,53.76325607299805,84.16146087646484,79.35839080810547,70.13602447509766,77.88529205322266,82.29399108886719,83.95564270019531,89.10147094726562,85.24555969238281
103,-54.99999997019768,-33.00000002980232,4.224712371826172,1.904483795166016,9.006933212280273,5.173168659210205,15.41364574432373,11.182373046875,20.74284172058105,15.425104141235352,42.75476837158203,67.1497802734375,97.05550384521484,69.89212799072266,82.02967834472656,85.97830200195312,71.72544860839844,79.91114044189453,87.97209930419922,88.51868438720703,90.30697631835938,88.97692108154297
104,-55.33349999785423,-32.66650000214577,12.16329574584961,7.758043766021729,5.558406352996826,8.398575782775879,6.627643585205078,5.372043609619141,10.836376190185549,7.381710052490234,19.78190994262696,38.07139205932617,92.3512191772461,51.43214416503906,88.69129180908203,86.95611572265625,83.81617736816406,86.48786163330078,92.44678497314452,92.87649536132812,94.38323211669922,93.27252960205078
105,-55.66650000214577,-32.0,12.545853614807127,11.822335243225098,27.537994384765625,17.632253646850586,42.816287994384766,40.875587463378906,35.63520812988281,40.07144546508789,30.366559982299805,34.80672836303711,79.64707946777344,49.2855110168457,72.776611328125,67.79768371582031,63.521575927734375,68.0319595336914,76.27485656738281,80.13424682617188,86.15247344970703,81.0247802734375
106,-56.66650000214577,-31.666500002145767,2.511791944503784,4.750400543212891,42.61555099487305,17.46428871154785,61.171478271484375,49.92338180541992,60.822998046875,57.05473709106445,38.34836959838867,26.52390480041504,91.8155517578125,53.50625228881836,71.58242797851562,76.15623474121094,78.3640365600586,75.36756896972656,92.6929168701172,85.63188171386719,95.4050521850586,91.37753295898438
107,-56.33349999785423,-31.666500002145767,5.182848453521729,3.931246995925903,33.34244155883789,14.771220207214355,58.2595329284668,60.45050811767578,53.52946853637695,57.69057846069336,32.82239532470703,29.52606201171875,92.7222671508789,53.01385498046875,75.99296569824219,69.42290496826172,73.50032043457031,72.97206115722656,92.71910858154295,85.29443359375,90.97168731689452,89.7040023803711
108,-56.66650000214577,-30.666499972343445,21.07273292541504,7.227115631103516,3.187369108200073,10.25998592376709,3.566745758056641,13.94140911102295,17.679210662841797,11.304115295410156,14.934603691101074,53.94420623779297,93.71328735351562,55.47207260131836,62.28950881958008,33.45454788208008,27.76696014404297,41.17033767700195,89.53568267822266,77.16759490966797,82.6635971069336,83.10749053955078
